name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
Студия,1850000,110778,6,9,Вторичка,16.7,8.7,3.0,2.5,1,Null,Косметический,1980,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,1,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, Березовская ул., 108",https://nn.cian.ru/sale/flat/294353194/
1-комн. квартира,1850000,105714,-2,25,Новостройка,17.5,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499342/
Студия,1630000,125385,3,5,Вторичка,13.0,6.0,2.0,Null,1,Null,Косметический,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/283160031/
Студия,1800000,138462,2,5,Вторичка,13.0,5.0,3.0,Null,Null,Null,Косметический,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/293950228/
Студия,1850000,146825,5,5,Вторичка,12.6,6.6,1.0,Null,1,Null,Косметический,1973,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дьяконова, 43А",https://nn.cian.ru/sale/flat/294172035/
Студия,1730000,123571,5,5,Вторичка,14.0,Null,Null,Null,Null,Null,Евроремонт,1968,Null,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, ул. Советской Армии, 13",https://nn.cian.ru/sale/flat/294430041/
Студия,1850000,102778,2,5,Вторичка,18.0,17.0,1.0,2.7,Null,Null,Косметический,1977,Null,Null,Нет информации,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, Перекопская ул., 8к1",https://nn.cian.ru/sale/flat/291956487/
1-комн. апартаменты,1900000,146154,1,27,Вторичка Апартаменты,13.0,Null,Null,Null,1,Null,Без ремонта,2017,Нет,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Ленгородок, Украинская ул., 50",https://nn.cian.ru/sale/flat/275564036/
Студия,1900000,89202,1,5,Вторичка,21.3,12.3,4.0,Null,1,Null,Косметический,1969,Нет,Null,Нет информации,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Ипподромный, ул. Энтузиастов, 10к1",https://nn.cian.ru/sale/flat/293989570/
1-комн. квартира,1650000,104430,-2,25,Новостройка,15.8,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499264/
