name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
1-комн. квартира,1550000,89595,5,5,Вторичка,17.3,Null,Null,Null,1,Null,Null,1966,Null,Кирпичный,Смешанные,3,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, просп. Мира, 82/2",https://omsk.cian.ru/sale/flat/294186337/
Студия,1400000,56000,1,2,Вторичка,25.0,Null,Null,Null,1,Null,Косметический,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Старый Кировск, ул. 9-я Самарская, 8",https://omsk.cian.ru/sale/flat/287845279/
1-комн. квартира,1500000,50000,2,2,Вторичка,30.0,18.0,5.0,Null,1,Null,Null,1962,Null,Null,Нет информации,Null,Нет информации,Нет,Автономное,Null,Null,"Омская область, Омск, Советский, Береговой микрорайон, Пролетарская ул., 10",https://omsk.cian.ru/sale/flat/290976656/
2-комн. квартира,1500000,31381,1,2,Вторичка,47.8,29.0,7.5,Null,1,1,Без ремонта,1984,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Кировский, Входной микрорайон, 2888 километр железнодорожная станция, 5",https://omsk.cian.ru/sale/flat/293968636/
1-комн. квартира,1570000,56071,2,2,Вторичка,28.0,17.2,5.0,Null,1,Null,Косметический,Null,Null,Кирпичный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Новостройка, Старый Кировск микрорайон, 38",https://omsk.cian.ru/sale/flat/293968388/
1-комн. квартира,1350000,48736,1,1,Вторичка,27.7,Null,Null,Null,1,Null,Косметический,Null,Нет,Null,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Ленинский, ул. Остановочный пункт 2717 км, 14",https://omsk.cian.ru/sale/flat/293883346/
2-комн. апартаменты,1470000,42486,2,2,Вторичка Апартаменты,34.6,23.5,6.1,2.8,Null,Null,Косметический,Null,Null,Блочный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Старый Кировск, ул. 1-я Автомобильная, 2",https://omsk.cian.ru/sale/flat/294355848/
1-комн. квартира,1510000,53929,2,2,Вторичка,28.0,17.0,6.0,3.2,1,Null,Без ремонта,Null,Null,Кирпичный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Новостройка, Старый Кировск микрорайон, 38",https://omsk.cian.ru/sale/flat/292387997/
2-комн. квартира,1570000,51140,5,5,Вторичка,30.7,18.4,Null,2.54,Null,Null,Косметический,1976,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Кировский, ул. 2-я Солнечная, 29",https://omsk.cian.ru/sale/flat/294485365/
1-комн. квартира,1550000,52721,1,3,Вторичка,29.4,17.1,5.6,2.6,1,Null,Косметический,1963,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Советский, Комбинатская ул., 46",https://omsk.cian.ru/sale/flat/285605582/
1-комн. квартира,1490000,42571,2,2,Вторичка,35.0,Null,Null,2.6,Null,Null,Null,1932,Null,Деревянный,Нет информации,2,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Советский, Сибаковская ул., 8",https://omsk.cian.ru/sale/flat/272804752/
1-комн. квартира,1310000,93571,3,5,Вторичка,14.0,Null,Null,2.75,Null,Null,Null,1979,Null,Null,Нет информации,2,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, Городок Нефтяников микрорайон, ул. 20-го Партсъезда, 47",https://omsk.cian.ru/sale/flat/292744469/
1-комн. квартира,1459000,112231,2,3,Вторичка,13.0,Null,Null,Null,Null,Null,Null,1957,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Октябрьский, Учебная ул., 193",https://omsk.cian.ru/sale/flat/293494099/
1-комн. квартира,1600000,53333,1,2,Вторичка,30.0,17.0,6.0,Null,1,Null,Без ремонта,1964,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Советский, Береговой микрорайон, Школьная ул., 1",https://omsk.cian.ru/sale/flat/294133104/
